query,rank,song,artist,text,score,relevance
Unrequited love,1,Heart Beyond Repair,"Harry Connick, Jr.","Pieces of a hole,  
Unrequited, not renowned.  
Never sought and never found.  
Through blood,  
Through soul.  
  
Now unfamiliar  
Feelings of good being,  
Are light that's not worth seeing.  
Through blood,  
Through soul.  
  
Restless and distorted  
Thoughts that underscore my night,  
Being wrong and seeing right.  
Through blood,  
Through soul.  
  
Heart beyond repair,  
All the edges worn and frayed  
Magnifying love betrayed.  
Through blood,  
Through soul.

",5.890999794006348,
Unrequited love,2,Glad To Be Unhappy,Billie Holiday,"Look at yourself.  
If you had the sense of humor,  
You would laugh to beat the band.  
  
Look at yourself.  
Do you still believe in rumor  
that romance is simply grand?  
  
Since you took it right  
on the chin,  
you have lost that bright  
toothpaste grin.  
  
My mental state is all a jumble.  
I sit around and sadly mumble.  
  
Fools rush in, so here I am,  
very glad to be unhappy.  
  
Unrequited love's a bore,  
and I've got it pretty bad.  
But for someone you adore,  
it's a pleasure to be sad  
  
Like a straying baby lamb  
with no mammy and no pappy,  
I'm so unhappy,  
but oh, so glad.

",5.739699840545654,
Unrequited love,3,Glad To Be Unhappy,Barbra Streisand,"Look at yourself...  
If you had sense of humor  
You would laugh to beat the band...  
Look at yourself  
Do you still believe the rumor  
That romance is simply grand?  
Since you took it right on the chin  
You have lost that bright toothpaste grin  
My mental state is all a-jumble  
I sit around in sadly mumble  
Fools rush in, so here I am!  
Very glad to be unhappy  
I can't win, but here I am  
More than glad to be unhappy  
Unrequited love's a bore and I've got it pretty bad  
But for someone you adore  
It's a pleasure to be sad...  
Like a straying baby lamb  
With no mammy and no pappy  
I'm so unhappy  
But, oh, so glad!

",5.652599811553955,
Unrequited love,4,I Forget My Name,Travis,"Turn me on to something  
I don't want to be alone  
My heart is like a stone and it's sinking  
  
Stay with me, I didn't mean to hurt you  
Don't you know  
I didn't get where I am with much thinking  
  
And I'm not sentimental  
But I know where I belong  
  
Come out and fight  
For love and life  
Tell me things 'til I forget my name  
  
Speak your mind  
And learn your lines  
Tell me things 'til I forget my name  
  
The say that if you hate yourself  
You like yourself enough  
You like yourself enough to be a hater  
  
But you can't get enough  
Of all that unrequited stuff  
So open up to love and see what's there  
  
And I'm not much of anything  
But know where I belong  
  
Come out and fight  
For love and life  
Tell me things 'til I forget my name  
  
Sing your life  
And learn your lines  
Tell me things 'til I forget my name  
  
Is this the best that we can do for one another  
Asking the questions thinking of another  
When you better come out fighting for your life  
  
Come out and fight  
For love and life  
Tell me things 'til I forget my name  
  
Speak your mind  
Sing your lines  
Tell me things 'til I forget my name

",5.340099811553955,
Unrequited love,5,Marriage Made In Hollywood,Bonnie Raitt,"Jimmy's not a high concept guy  
But he's front page news, let me tell you why  
He's on the cover of the New York Post  
Every network, coast to coast  
All he needed was a hot night in June  
'Cause he had the needle and he had the spoon  
When he spiked it bit, and man, he flew  
Into America's living room  
  
We all love tragedy and it loves us too  
It's a marriage made in Hollywood  
Between greed and you  
All you need to be a star is to die in open view  
It's a marriage made in Hollywood  
Between greed and you  
Between greed and you  
Between greed and you  
  
Loved by women, admired by men  
He walked down Broadway with his best friend  
His brain was wired like a light in a socket  
With his old friend in his back pocket  
That horse could kick, that horse could scream  
Ride you outta here into a different scene  
Unrequited love and that makes it fair  
But who keeps score when you're in mid-air?  
  
We all love tragedy, it loves us too  
It's a marriage made in Hollywood  
Between greed and you  
All you need to be a star is to die in open view  
It's a marriage made in Hollywood  
Between greed and you  
Between greed and you  
Between greed and you  
  
Like a free-fall chute that didn't open  
He looked down to see his dream was broken  
He stared back up at a hot grey sky  
Reran his life and then he died  
Well if you jump off a building, brother beware!  
'Cause my friend Jimmy woke up mid-air  
No time to smile, no time to wave  
They buried him in a media grave  
  
We all love tragedy, it loves us too  
It's a marriage made in Hollywood  
Between greed and you  
And all you need to be a star is to die in open view  
It's a marriage made in Hollywood  
Between greed and you  
Between greed and you  
Between greed and you

",5.07480001449585,
Unrequited love,6,My Baby's In Love With Eddie Vedder,Weird Al Yankovic,"Oh, my baby, my baby she don't want me no more  
Ever since she saw his poster in that record store  
She says the way he grinds his molars is really sexy  
She thinks he's so darn dysfunctional and Generation X-why  
She likes his brooding angst and his wild-eyed stare  
Yeah, he's her very favorite slacker multi-millionaire  
  
Well, my baby's in love with Eddie Vedder  
She's all crazy 'bout that Eddie Vedder  
Once she was mine, but now I better just forget her  
Cause my baby's in love with Eddie Vedder  
  
Now, every time I see him, well, he looks so grim  
I guess it really must suck to be a rock star like him  
What a pain in the butt to have so much success  
Spending all his time moping and avoiding the press  
But my girl can't get enough of his sullen demeanor  
Like he's some bit tortured genius  
And I'm some kinda wiener  
  
Well, my baby's in love with Eddie Vedder  
She's got a thing for that Eddie Vedder  
Tell me, what can he do that I can't do better?  
Now my baby's in love with  
I said I said I said my baby's in love with Eddie Vedder  
Head over heels for that Eddie Vedder  
  
I knew we were headin' for disaster  
When she caught me hangin' out at the Ticketmaster  
Now she's got an unrequited adoration  
For the frustrated, agitated, designated alienated  
Spokesman for the disaffected grunge generation  
  
Well, I don't wear Doc Martens and I don't wear flannel  
And I don't boycott the music video channel  
And I just can't compete with all that money and fame  
But I know two can paly at this kinda game  
Yeah, well, let's just see how jealous she'll get  
When I start stalking Alanis Morissette  
  
Well, my baby's in love with Eddie Vedder  
She's all crazy 'bout that Eddie Vedder  
Once she was mine but now I better just forget her  
Cause my baby's in love with  
I said I said I said my baby's in love with Eddie Vedder  
Why'd she have to fall for that Eddie Vedder?  
If she wants to leave me, I guess I better let her  
Cause my baby's in love with Eddie Vedder

",4.863800048828125,
Unrequited love,7,Throne Of Desire Variations,Leonard Cohen,"(Written By Cohen, Performed In ""Night Magic"")  
  
Let me start with you Miss Shy  
Bundled up in your mother's lie  
Tip toe, tip toe  
Hiding your silky pleasure  
  
Miss Shy come to me  
Along the snowy paths of modesty  
Tip toe, tip toe  
Hiding your silky treasure  
  
Come to me with downcast eyes  
Come to me and claim the prize  
Of your outrageous pleasure  
  
How I like you Miss Shy  
Bundled up in your mother's lie  
Tip toe --  
Claim your outrageous pleasure!  
  
O o o  
  
And you I want strong  
With your hatred intact  
With your father's pipe  
And your brother's bat  
And your quaint belief  
In holy authority  
  
With your discipline  
And your Darwin claws  
And your legal eye  
On the peacock's flaws  
I see what fallen man  
Was meant to be  
  
With your absolute  
No man can refute  
Your absolutely unique  
Contempt for the weak  
Down on our paws  
There are no laws  
Kiss me where I can not speak  
  
You I want strong  
With your hatred intact  
With your father's pipe  
And your brother's bat  
Now kiss me  
Where I cannot speak!  
  
O o o  
  
You I want for my friend  
To gossip with me and drink tea  
To walk down by the river's bend  
You I want for my friend  
  
To watch the water going by  
The swallows climbing above  
To tell me that I lie  
When I tell you I cannot love,  
Cannot love  
  
To know my heart better than me  
To be my friend in charity  
To speak of lovers old and new  
To say to me, what they've done to you  
  
You I want for my friend  
To make some sense of our difference  
To eat and drink together  
To comfort one another,  
And may our conversation never end!  
  
O o o  
  
And you  
I want your  
Beauty hidden  
From all  
Sight but my  
Own  
So none may know  
Your womanhood  
Or hear you moan  
Your pleasures  
To an infant thumb  
  
You will be  
True to me  
There will be no  
Infidelity  
For I will weave  
A cloak so tight  
About your loveliness  
No man will ever guess  
The wild commands you whisper  
From your childhood to the night  
  
And what  
Drops the moon  
About a man  
And draws  
Him tidal to  
Your lips  
And lets your nipples  
Harden I can  
Hear you moan  
Your pleasures  
To an infant thumb  
  
And you I want  
To wink at me  
And you I want  
To think of me  
You I want above  
I want you below  
You I want veiled  
And you to know  
I want you clumbsy  
I want you skilled  
You be ferocious  
You be mild...  
  
You be foolish  
You be wise  
You stay here  
You stay outside  
You comb out your hair  
You keep it curled  
I want, I want, I want  
I want to know the world  
You comb out your hair  
You keep yours curled  
I want, I want to know the world!  
  
O o o  
  
And you  
Who did not come tonight  
I will wait for you  
And you  
Who are not born  
I will write for you  
And you  
Who must appear  
In veils of chance  
And mystery  
I will kneel  
I will kneel  
Like a child  
Who's watching Mary  
As she stands  
Upon the air  
In gentle splendour  
In the black  
Mouth of a cave  
Open-armed and radiant  
To save mankind  
And all the broken  
World to mother  
  
And I swear  
By the obscure  
Truth  
Of this  
Enfolded heart  
I swear  
By  
The unrequited greed  
Of this  
Human heart  
And all  
Its  
Disappointed pleasures  
I swear  
By  
The deep light  
Of my soul  
Stained  
And covered over  
With  
Intrigues of pride  
Whose mercy is  
To let me sing  
I swear  
That I will be  
For the one  
Who will not come  
To me  
I swear that  
I will be  
Her lover  
Her eternal  
And imperfect  
Spirit lover.

",3.9274001121520996,
Unrequited love,8,It's So Cool,Madonna,"It's so hard to be someone,  
It's so hard to be unkwown.  
In your heart you are to blame  
In your heart you play the game.  
  
Do you realize you pay the price?  
Do you know the cost of all your vice?  
Save your soul, it's all a test,  
Save your soul, it's for the best.  
  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
  
Save your soul, little sister  
Save your soul, dear little brother.  
You need hope, says the preacher,  
Learn to cope says all my teachers.  
  
Do you really know God's intention?  
Do you ever ask what it's all for?  
We need love, love and love,  
We need more, more and more.  
  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
  
Prophets are telling us  
We're near the end  
But I am telling you  
That it's all pretend.  
  
It's so cool to be uncool,  
It's so right to be unright.  
It's so good to look so bad,  
Isn't this the best thing you ever had.  
  
It's so cool to be uncool,  
It's so right to be unright.  
It's so good to look so bad,  
Isn't this the best thing you ever had.  
  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)  
We need love (love, love, love, love, love)

",0.7851999998092651,
Unrequited love,9,Love Remains,Alabama,"When the last drop of rain has fallen  
When the final note has drifted away  
When the earth ceases to turn  
And the last fire has burned  
  
When the wind stops its ceaseless blowing  
When the last wave has come into shore  
When the sun has called it a day  
And the stars have all floated away  
  
My heart will still be yours, baby  
My dreams will still be yours, darlin'  
You and I will find nothing has changed  
Love, love, love  
Love, love, love (remains)  
  
When we have grown old together  
And the hourglass runs out of sand  
Darlin' you will kiss me and then  
Forever starts all over again  
  
My heart will still be yours, baby  
My dreams will still be yours, darlin'  
You and I will find nothing has changed  
Love, love, love  
Love, love, love (remains)  
  
My soul is one with yours, baby  
Just to hold you drives me crazy  
In your eyes I see... you feel the same  
Love, love, love  
Love, love, love remains  
  
Love remains like an endless flame  
Through the brightest joys and the darkest pain  
In the end  
  
My heart will still be yours, baby  
My dreams will still be yours, darlin'  
You and I will find nothing has changed  
Love, love, love  
Love, love, love (remains)  
  
My soul is one with yours, baby  
Just to hold you drives me crazy  
In your eyes I see... you feel the same  
Love, love, love  
Love, love, love remains  
Love, love, love  
Love, love, still remains  
Love, love, love  
Love, love, remains  
Love, love, love  
Love, remains  
Love, love, love  
Love, love, still remains  
Love, love, love  
Love, love, love  
Love, love, still remains  
Oh, love, love, love  
Love, love, love  
Oh, love, love, love

",0.7803999781608582,
Unrequited love,10,Our Love Was,Who,"Our love was...  
Our love was famine, frustration  
We only acted out an imitation  
Of what real love should have been  
Then suddenly...  
  
Our love was flying  
Our love was soaring  
Our love was shining  
Like a summer morning  
  
Flying, soaring  
Shining morning  
Never leaving  
Lying, dying  
  
Love love love long  
Love love love long  
Love love love long  
Love love love long  
  
Love love love long  
Love love love long  
Love love love long  
Love love love long  
  
Love love love long  
Love love love long  
Love love love long  
Love love love long  
  
Our love was flying  
Our love was soaring  
Our love was shining  
Like a summer morning  
  
Our love was famine, frustration  
We only acted out an imitation  
Of what real love should have been  
And then suddenly...  
  
Our love was flying  
Our love was soaring  
Our love was shining  
Like a summer morning

",0.7799999713897705,
Jealousy,1,Jealously,Heart,"Who was with you - where you been?  
Baby it can't be this again  
I can't cool it 'cos I can't win it with you  
  
Words like punches - things we said  
Under the belt and in the head  
Down for the count in a cold cold bed  
Beat by jealousy  
  
Jealousy - jealousy  
Stanglehold - love can't breathe  
Let me be - set me free  
Jealousy  
  
You won't hear what I imply  
What you say - I won't buy  
You deny but you lie  
Jealousy  
  
Jealousy - jealousy  
Stanglehold - love can't breathe  
Let me be - set me free  
Jealousy  
  
Down suspicious - torn in doubt  
Dirty vicious - knock me out  
Danger, danger - stakes are high  
Hook the blow between the eyes  
Every round - we lose more ground  
Jealousy  
  
Jealousy - jealousy  
Stanglehold - love can't breathe  
Let me be - set me free  
Jealousy

",5.518899917602539,
Jealousy,2,Jealousy,Status Quo,"Just jealousy, my jealousy  
Is what you see doing me  
Jealous of me, such jealousy  
It shouldn't be - leave me alone  
  
Time is running out, out runs the time  
I waste it on my own  
But don't think I'm alone  
Oh no, not again, I won't reply  
I can't stay on the phone  
I'll see you back at home  
I really did think that problem was solved  
But it is not  
  
Just jealousy, my jealousy  
Is what you see doing me  
Jealous of me, such jealousy  
It shouldn't be - leave me alone  
  
I've got another one, listen to me  
And don't get all hung on  
To things I have done wrong  
Oh no, not again, I won't reply  
It's only how I feel  
It sometimes seems unreal  
But everyone gets there once in a while  
Are you wishing?  
  
Just jealousy, my jealousy  
Is what you see doing me  
Jealous of me, such jealousy  
It shouldn't be - leave me alone  
Just jealousy, my jealousy  
Is what you see doing me  
Jealous of me, such jealousy  
It shouldn't be - leave me alone ....  

",5.496300220489502,
Jealousy,3,Jealousy,Iggy Pop,"He's got a great big hit he's in a limousine  
When I see his face somethin' starts to freeze  
He's got money for miles his girl comes out of vogue  
When he acts like an ass he's treated like a rogue  
  
I feel it comin' it's flushin' my face  
I feel it comin' jealousy baby  
I feel it comin' it's boilin my blood  
I feel it comin' jealousy baby  
I feel it comin' flushin' my face  
I feel it comin' jealousy baby  
I feel it comin' boilin' my blood  
I feel it comin' jealousy baby  
This isn 't for the first time in my life  
  
She comes from top cheekbones she never worried hard  
You could camp an army on her family's yard  
When I look at blue blood I want to make it mud  
And tear that difference down rock an' roll is how  
  
I feel it comin' it's breakin' my neck  
I feel it comin' jealousy baby  
I feel it comin' boilin' my blood  
I feel it comin' jealousy baby  
I feel it comin' boilin my blood  
I feel it comin' jealousy baby  
I feel it comin breakin' my neck  
I feel lr comin' jealousy baby  
This isn 't for the first time in my life  
  
I feel it comin' it's flushin' my face  
I feel it comin' jealousy baby  
I feel it comin' boilin my blood  
I feel it comin' jealousy baby  
I feel it comin' flushin' my face  
I feel it comin' jealousy baby  
I feel it comin' breakin' my neck  
I feel it comin' jealousy baby  
I feel it comin' heatin' my eyes  
I feel it comin' jealousy baby  
Jealousy baby

",5.476099967956543,
Jealousy,4,Jealousy,Queen,"Oh how wrong can you be?  
Oh to fall in love  
Was my very first mistake  
How was I to know  
I was far too much in love to see?  
Oh jealousy look at me now  
Jealousy you got me somehow  
You gave me no warning  
Took me by surprise  
Jealousy you led me on  
You couldn't lose you couldn't fail  
You had suspicion on my trail  
  
How how how all my jealousy  
I wasn't man enough to let you hurt my pride  
Now I'm only left with my own jealousy  
  
Oh how strong can you be  
With matters of the heart?  
Life is much too short  
To while away with tears  
If only you could see  
Just what you do to me  
Oh jealousy you tripped me up  
Jealousy you brought me down  
You bring me sorrow you cause me pain  
Jealousy when will you let go?  
Gotta hold of my possessive mind  
Turned me into a jealous guy  
  
How how how all my jealousy  
I wasn't man enough to let you hurt my pride  
Now I'm only left with my own jealousy  
But now it matters not  
If I should live or die  
'Cause I'm only left with my own jealousy

",5.440499782562256,
Jealousy,5,Jealousy,Nitty Gritty Dirt Band,"When you walk  
Do you take the short way home  
Call you up  
Does it sound like you're alone  
Dressin' up  
Are you lookin' good for me  
Dancin' close  
Are your eyes where they should be  
I can feel it comin' over me (comin' over me)  
Somebody help me  
Jealousy  
When you sleep  
Do you see me in your dreams  
Feelin' high (high) high  
Do I always see the steam  
I'm afraid it's taken hold of me (takin' hold of me)  
Somebody help me  
Jealousy  
(Aaaahhhh oohh)  
Your constant assurance  
Don't want your mystery  
I'm guessing, please tell me  
I'm goin' crazy over you and you and me  
When you talk  
Are you mentioning my name  
Cheryl Plate  
Are you willing to explain  
Hate to have you prove it constantly  
Jealousy  
Jealousy  
You and me  
(Ahh) jealousy  
Jealousy yeah  
(Jealous)jealousy  
Jealousy  
Jealous, jealousy  
Yeah ah  
Jealousy

",5.435800075531006,
